,precursor,pyrolysis T (K),activator_name,activator_ratio,BET (m2/g),T ads (K),P ads (bar),CO2 ads (mmol/g),pore volume (cm3/g),C (%),N (%),H (%),S (%),O (%),ash (%),VM (%),FC (%),H/O (molar),O/C (molar),H/C (molar),(O+N)/C (molar),strat
0,lignin waste,873,KOH/C_2,2.0,1157.0,298,1.0,3.2,0.59,61.68,1.29,5.85,0.0,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37,True
1,lignin waste,873,KOH/C_2,2.0,1157.0,298,0.2,1.2,0.59,61.68,1.29,5.85,0.0,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37,False
2,lignin waste,873,KOH/C_2,2.0,1157.0,273,1.0,4.4,0.59,61.68,1.29,5.85,0.0,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37,True
3,lignin waste,873,KOH/C_2,2.0,1157.0,323,1.0,1.9,0.59,61.68,1.29,5.85,0.0,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37,False
4,lignin waste,873,KOH/C_2,2.0,1157.0,348,1.0,1.3,0.59,61.68,1.29,5.85,0.0,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37,False
5,lignin waste,873,KOH/C_2,2.0,1157.0,273,0.2,1.9,0.59,61.68,1.29,5.85,0.0,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37,False
6,lignin waste,973,KOH/C_2,2.0,1551.0,298,1.0,4.6,0.77,61.68,1.29,5.85,0.0,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37,True
7,lignin waste,973,KOH/C_2,2.0,1551.0,298,0.2,1.5,0.77,61.68,1.29,5.85,0.0,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37,False
8,lignin waste,973,KOH/C_2,2.0,1551.0,273,1.0,7.4,0.77,61.68,1.29,5.85,0.0,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37,True
9,lignin waste,973,KOH/C_2,2.0,1551.0,323,1.0,2.5,0.77,61.68,1.29,5.85,0.0,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37,False
10,lignin waste,973,KOH/C_2,2.0,1551.0,348,1.0,1.5,0.77,61.68,1.29,5.85,0.0,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37,False
11,lignin waste,973,KOH/C_2,2.0,1551.0,273,0.2,2.8,0.77,61.68,1.29,5.85,0.0,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37,True
12,lignin waste,1073,KOH/C_2,2.0,1924.0,298,1.0,4.0,0.95,61.68,1.29,5.85,0.0,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37,True
13,lignin waste,1073,KOH/C_2,2.0,1924.0,298,0.2,1.2,0.95,61.68,1.29,5.85,0.0,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37,False
14,lignin waste,1073,KOH/C_2,2.0,1924.0,273,1.0,6.5,0.95,61.68,1.29,5.85,0.0,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37,True
15,lignin waste,1073,KOH/C_2,2.0,1924.0,323,1.0,2.5,0.95,61.68,1.29,5.85,0.0,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37,False
16,lignin waste,1073,KOH/C_2,2.0,1924.0,348,1.0,1.4,0.95,61.68,1.29,5.85,0.0,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37,False
17,lignin waste,1073,KOH/C_2,2.0,1924.0,273,0.2,2.1,0.95,61.68,1.29,5.85,0.0,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37,False
18,lignin waste,873,KOH/C_4,4.0,1820.0,298,1.0,2.7,0.91,61.68,1.29,5.85,0.0,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37,True
19,lignin waste,973,KOH/C_4,4.0,2038.0,298,1.0,3.2,1.0,61.68,1.29,5.85,0.0,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37,True
20,lignin waste,1073,KOH/C_4,4.0,3235.0,298,1.0,2.8,1.77,61.68,1.29,5.85,0.0,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37,True
21,lignin waste,1173,KOH/C_4,4.0,2750.0,298,1.0,2.4,1.66,61.68,1.29,5.85,0.0,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37,False
22,peanut shell,953,KOH-2,2.0,1713.0,273,1.0,7.25,0.73,72.77,0.91,3.06,0.09,12.76,10.4,14.82,74.77,3.84,0.13,0.51,0.14,True
23,peanut shell,953,KOH-2,2.0,1713.0,298,1.0,4.41,0.73,72.77,0.91,3.06,0.09,12.76,10.4,14.82,74.77,3.84,0.13,0.51,0.14,True
24,peanut shell,1003,KOH-2,2.0,1893.0,273,1.0,7.12,0.78,72.77,0.91,3.06,0.09,12.76,10.4,14.82,74.77,3.84,0.13,0.51,0.14,True
25,peanut shell,1003,KOH-2,2.0,1893.0,298,1.0,4.22,0.78,72.77,0.91,3.06,0.09,12.76,10.4,14.82,74.77,3.84,0.13,0.51,0.14,True
26,peanut shell,1053,KOH-2,2.0,1871.0,273,1.0,6.79,0.8,72.77,0.91,3.06,0.09,12.76,10.4,14.82,74.77,3.84,0.13,0.51,0.14,True
27,peanut shell,1053,KOH-2,2.0,1871.0,298,1.0,3.92,0.8,72.77,0.91,3.06,0.09,12.76,10.4,14.82,74.77,3.84,0.13,0.51,0.14,True
28,rice husk,913,KOH-1,1.0,774.0,273,0.1,2.11,0.41,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,False
29,rice husk,983,KOH-1,1.0,1041.0,273,0.1,1.91,0.53,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,False
30,rice husk,1053,KOH-1,1.0,1199.0,273,0.1,1.91,0.6,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,False
31,rice husk,1053,KOH-3,3.0,2695.0,273,0.1,1.25,1.14,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,False
32,rice husk,913,KOH-1,1.0,774.0,273,0.2,2.85,0.41,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,True
33,rice husk,983,KOH-1,1.0,1041.0,273,0.2,2.9,0.53,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,True
34,rice husk,1053,KOH-1,1.0,1199.0,273,0.2,2.81,0.6,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,True
35,rice husk,1053,KOH-3,3.0,2695.0,273,0.2,2.04,1.14,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,False
36,rice husk,913,KOH-1,1.0,774.0,273,1.0,4.88,0.41,47.8,0.1,5.1,0.0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38,True
