Precursor,Pyrolysis T (C),Activator,BET (m2/g),T ads (K),P ads (bar),CO2 ads (mmol/g),Pore volume (cm3/g)
Lignin Waste,873,KOH-4,1820,298,1,2.7,0.91
Lignin Waste,973,KOH-4,2038,298,1,3.2,1
Crab shell,773,KOH-1.5,503,273,1,2.68,0.24
Crab shell,773,KOH-1.5,503,273,0.15,2.6,0.24
Crab shell,923,KOH-1.5,1196,273,1,6.1,0.5
Crab shell,873,KOH-0.5,192,298,1,2.3,0.09
Crab shell,873,KOH-1,798,298,1,3.5,0.34
Crab shell,873,KOH-1.5,1004,298,1,4.11,0.46
Crab shell,873,KOH-2,1387,298,1,2.1,0.47
Crab shell,873,KOH-1.5,192,298,0.15,2.2,0.09
Crab shell,873,KOH-1,798,298,0.15,3.9,0.34
Crab shell,873,KOH-1.5,1004,298,0.15,3.8,0.46
Crab shell,873,KOH-2,1387,298,0.15,3.7,0.47
Crab shell,923,KOH-1.5,1196,348,1,1.5,0.5
Peanut shell,953,KOH-2,1713,273,1,7.25,0.73
Peanut shell,953,KOH-2,1713,298,1,4.41,0.73
Peanut shell,1053,KOH-2,1871,273,1,6.79,0.8
Peanut shell,1053,KOH-2,1871,298,1,3.92,0.8
Rice husk,913,KOH-1,774,273,0.1,2.11,0.41
Rice husk,983,KOH-1,1041,273,0.1,1.91,0.53
Rice husk,1053,KOH-1,1199,273,0.1,1.91,0.6
Rice husk,1053,KOH-0.5,2695,273,0.1,1.25,1.14
Rice husk,913,KOH-1,774,273,0.2,2.85,0.41
Rice husk,983,KOH-1,1041,273,0.2,2.9,0.53
Rice husk,1053,KOH-1,1199,273,0.2,2.81,0.6
Rice husk,1053,KOH-3,2695,273,0.2,2.04,1.14
Rice husk,913,KOH-1,774,273,1,4.88,0.41
Rice husk,983,KOH-1,1041,273,1,5.63,0.53
Rice husk,1053,KOH-1,1199,273,1,6.02,0.6
Rice husk,1053,KOH-3,2695,273,1,6.24,1.14
Rice husk,913,KOH-1,774,298,0.1,1.24,0.41
Rice husk,983,KOH-1,1041,298,0.1,1.21,0.53
Rice husk,1053,KOH-1,1199,298,0.1,1.01,0.6
Rice husk,1053,KOH-3,2695,298,0.1,0.69,1.14
Rice husk,913,KOH-1,774,298,0.15,1.51,0.41
Rice husk,983,KOH-1,1041,298,0.15,1.55,0.53
Rice husk,1053,KOH-1,1199,298,0.15,1.28,0.6
Rice husk,1053,KOH-3,2695,298,0.15,0.92,1.14
