precursor,pyrolysis T (K),activator_name,activator_ratio,BET (m2/g),T ads (K),P ads (bar),CO2 ads (mmol/g),pore volume (cm3/g),C (%),N (%),H (%),S (%),O (%),ash (%),VM (%),FC (%),H/O (molar),O/C (molar),H/C (molar),(O+N)/C (molar)
lignin waste,873,KOH/C_2,2,1157,298,1,3.2,0.59,61.68,1.29,5.85,0.00,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37
lignin waste,873,KOH/C_2,2,1157,298,0.2,1.2,0.59,61.68,1.29,5.85,0.00,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37
lignin waste,873,KOH/C_2,2,1157,273,1,4.4,0.59,61.68,1.29,5.85,0.00,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37
lignin waste,873,KOH/C_2,2,1157,323,1,1.9,0.59,61.68,1.29,5.85,0.00,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37
lignin waste,873,KOH/C_2,2,1157,348,1,1.3,0.59,61.68,1.29,5.85,0.00,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37
lignin waste,873,KOH/C_2,2,1157,273,0.2,1.9,0.59,61.68,1.29,5.85,0.00,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37
lignin waste,973,KOH/C_2,2,1551,298,1,4.6,0.77,61.68,1.29,5.85,0.00,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37
lignin waste,973,KOH/C_2,2,1551,298,0.2,1.5,0.77,61.68,1.29,5.85,0.00,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37
lignin waste,973,KOH/C_2,2,1551,273,1,7.4,0.77,61.68,1.29,5.85,0.00,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37
lignin waste,973,KOH/C_2,2,1551,323,1,2.5,0.77,61.68,1.29,5.85,0.00,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37
lignin waste,973,KOH/C_2,2,1551,348,1,1.5,0.77,61.68,1.29,5.85,0.00,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37
lignin waste,973,KOH/C_2,2,1551,273,0.2,2.8,0.77,61.68,1.29,5.85,0.00,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37
lignin waste,1073,KOH/C_2,2,1924,298,1,4,0.95,61.68,1.29,5.85,0.00,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37
lignin waste,1073,KOH/C_2,2,1924,298,0.2,1.2,0.95,61.68,1.29,5.85,0.00,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37
lignin waste,1073,KOH/C_2,2,1924,273,1,6.5,0.95,61.68,1.29,5.85,0.00,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37
lignin waste,1073,KOH/C_2,2,1924,323,1,2.5,0.95,61.68,1.29,5.85,0.00,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37
lignin waste,1073,KOH/C_2,2,1924,348,1,1.4,0.95,61.68,1.29,5.85,0.00,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37
lignin waste,1073,KOH/C_2,2,1924,273,0.2,2.1,0.95,61.68,1.29,5.85,0.00,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37
lignin waste,873,KOH/C_4,4,1820,298,1,2.7,0.91,61.68,1.29,5.85,0.00,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37
lignin waste,973,KOH/C_4,4,2038,298,1,3.2,1,61.68,1.29,5.85,0.00,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37
lignin waste,1073,KOH/C_4,4,3235,298,1,2.8,1.77,61.68,1.29,5.85,0.00,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37
lignin waste,1173,KOH/C_4,4,2750,298,1,2.4,1.66,61.68,1.29,5.85,0.00,28.99,2.19,61.1,36.71,3.23,0.35,1.14,0.37
peanut shell,953,KOH-2,2,1713,273,1,7.25,0.73,72.77,0.91,3.06,0.09,12.76,10.40,14.82,74.77,3.84,0.13,0.51,0.14
peanut shell,953,KOH-2,2,1713,298,1,4.41,0.73,72.77,0.91,3.06,0.09,12.76,10.40,14.82,74.77,3.84,0.13,0.51,0.14
peanut shell,1003,KOH-2,2,1893,273,1,7.12,0.78,72.77,0.91,3.06,0.09,12.76,10.40,14.82,74.77,3.84,0.13,0.51,0.14
peanut shell,1003,KOH-2,2,1893,298,1,4.22,0.78,72.77,0.91,3.06,0.09,12.76,10.40,14.82,74.77,3.84,0.13,0.51,0.14
peanut shell,1053,KOH-2,2,1871,273,1,6.79,0.8,72.77,0.91,3.06,0.09,12.76,10.40,14.82,74.77,3.84,0.13,0.51,0.14
peanut shell,1053,KOH-2,2,1871,298,1,3.92,0.8,72.77,0.91,3.06,0.09,12.76,10.40,14.82,74.77,3.84,0.13,0.51,0.14
rice husk,913,KOH-1,1,774,273,0.1,2.11,0.41,47.8,0.1,5.1,0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38
rice husk,983,KOH-1,1,1041,273,0.1,1.91,0.53,47.8,0.1,5.1,0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38
rice husk,1053,KOH-1,1,1199,273,0.1,1.91,0.6,47.8,0.1,5.1,0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38
rice husk,1053,KOH-3,3,2695,273,0.1,1.25,1.14,47.8,0.1,5.1,0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38
