BIOMASS,SA,SBR,HHVbiom (MJ/kg),T (K),SR,C (%),N (%),H (%),S (%),O (%),ash (%),VM (%),FC (%),MC (%),volCO2 (%),volCO (%),volCH4 (%),volH2 (%),volCOMB (%),GAS (m3/kg biom)
AS,2.33,1.1,19.5649,1173,0.13,49.44,0.31,5.85,0.05,42.9,1.45,78.93,19.62,6.52,32.5244,23.6541,7.3919,36.4296,67.4756,0.7975
CHE,2.33,1.09,19.1086,1173,0.13,50.22,0.34,5.55,0.01,43.41,0.47,81.22,18.31,8.42,31.0826,26.4786,9.6049,32.834,68.9174,0.7366
CHET,2.33,1.11,19.588,1173,0.13,51.3,0.4,5.4,0.02,42.6,0.3,80,19.7,8.2,33.9162,24.4122,8.4228,33.2488,66.0838,0.6558
CS,2.33,1.14,19.0667,1173,0.13,47.96,2.74,5.93,0.21,35.26,7.9,70.43,21.67,6.7,36.756,14.7516,6.7984,41.6941,63.244,0.668
GP,2.33,1.03,18.6815,1173,0.13,45.5,1.82,5.05,0.17,34.73,12.73,67.59,19.68,11.6,31.2862,22.9423,9.8008,35.9707,68.7138,0.8201
OS,2.33,1.16,20.5111,1173,0.13,51.21,0.29,6.01,0.03,41.88,0.58,81.49,17.93,4.32,22.8471,34.0266,12.0559,31.0704,77.1529,1.3251
PCL,2.33,1.22,20.9759,1173,0.13,52.89,0.44,6.06,0.03,39.46,1.12,76.52,22.36,10.12,24.5108,32.1336,9.5876,33.7679,75.4892,1.0346
PIN,2.33,1.15,19.904,1173,0.13,51,0.3,6,0.02,42.3,0.4,85.1,14.5,9.6,16.68,39.0941,11.7841,32.4417,83.32,1.2266
PINT,2.33,1.23,21.568,1173,0.13,54.5,0.4,5.7,0.02,39,0.4,78.6,21,6.4,21.9651,32.8991,9.0609,36.0748,78.0349,1.1869
PKS,2.33,1.22,20.7665,1173,0.13,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,9.37,20.7474,34.1352,9.61,35.5075,79.2526,1.2974
AS,2.33,2.11,19.5649,1173,0.25,49.44,0.31,5.85,0.05,42.9,1.45,78.93,19.62,6.52,40.236,19.0279,7.525,33.2111,59.764,0.9066
CHE,2.33,2.1,19.1086,1173,0.25,50.22,0.34,5.55,0.01,43.41,0.47,81.22,18.31,8.42,35.8767,25.6545,8.8999,29.5689,64.1233,0.8267
CHET,2.33,2.14,19.588,1173,0.25,51.3,0.4,5.4,0.02,42.6,0.3,80,19.7,8.2,37.7504,21.5559,8.1037,32.59,62.2496,0.9917
CS,2.33,2.18,19.0667,1173,0.25,47.96,2.74,5.93,0.21,35.26,7.9,70.43,21.67,6.7,40.6573,14.1092,6.7011,38.5324,59.3427,0.9679
GP,2.33,1.98,18.6815,1173,0.25,45.5,1.82,5.05,0.17,34.73,12.73,67.59,19.68,11.6,38.8974,18.1009,7.8658,35.1358,61.1026,0.8383
OS,2.33,2.22,20.5111,1173,0.25,51.21,0.29,6.01,0.03,41.88,0.58,81.49,17.93,4.32,25.7682,31.8943,11.1588,31.1787,74.2318,1.4553
PCL,2.33,2.34,20.9759,1173,0.25,52.89,0.44,6.06,0.03,39.46,1.12,76.52,22.36,10.12,27.3437,29.3744,8.4164,34.8655,72.6563,1.2874
PIN,2.33,2.21,19.904,1173,0.25,51,0.3,6,0.02,42.3,0.4,85.1,14.5,9.6,21.9885,35.8142,9.9304,32.2669,78.0115,1.3209
PINT,2.33,2.37,21.568,1173,0.25,54.5,0.4,5.7,0.02,39,0.4,78.6,21,6.4,24.0813,32.721,8.8406,34.3571,75.9187,1.5854
PKS,2.33,2.34,20.7665,1173,0.25,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,9.37,23.5999,33.8791,9.0599,33.4611,76.4001,1.468
PKS,2.33,1.22,20.7665,973,0.13,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,9.37,27.7776,38.7243,11.4872,22.0109,72.2224,0.7534
PKS,2.33,1.22,20.7665,1073,0.13,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,9.37,23.433,37.1422,10.7526,28.6722,76.567,0.9322
PKS,0.11,0.06,20.7665,1173,0.13,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,9.37,23.5188,37.4261,10.6126,28.4425,76.4812,0.866
PKS,0.33,0.17,20.7665,1173,0.13,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,9.37,21.8692,37.6304,10.781,29.7194,78.1308,0.906
PKS,1,0.52,20.7665,1173,0.13,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,9.37,21.022,34.9558,9.2377,34.7844,78.978,1.2107
PKS,2.33,2.34,20.7665,973,0.25,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,9.37,31.6295,36.2086,10.2107,21.9512,68.3705,0.939
PKS,2.33,2.34,20.7665,1073,0.25,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,9.37,26.2227,35.8339,10.3586,27.5849,73.7773,1.2087
PKS,0.11,0.11,20.7665,1173,0.25,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,9.37,27.2993,35.4613,9.414,27.8254,72.7007,1.0267
PKS,0.33,0.33,20.7665,1173,0.25,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,9.37,23.9842,36.7494,10.1746,29.0918,76.0158,1.2234
PKS,1,1,20.7665,1173,0.25,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,9.37,23.0386,34.4515,9.6393,32.8705,76.9614,1.3711
