BIOMASS_name,BIOMASS_name2,BIOMASS,ORIGIN,SA,SBR,HHVbiom (MJ/kg),T (K),SR,C (%),N (%),H (%),S (%),O (%),ash (%),VM (%),FC (%),MC (%),REFERENCE
almond hulls,almond hulls (ALH),ALH,fruit bunches,2.3333,2.0502,18.77,1173,0.25,46.5,1.15,5.97,0.04,40.16,6.18,73.21,20.61,8.18,https://phyllis.nl/
almond shells,almond shells (AS1),AS1,nut shells,2.3333,2.2003,19.05,1173,0.25,50.14,0.74,5.95,0.03,40.1,3.04,76.1,20.86,7.85,https://phyllis.nl/
almond shells,almond shells (AS2),AS2,nut shells,2.3333,1.9415,19.38,1173,0.25,44.98,1.16,5.97,0.02,43.06,4.81,73.45,21.74,7.19,https://phyllis.nl/
almond shells,almond shells (AS3),AS3,nut shells,2.3333,2.0891,19.38,1173,0.25,47.9,1.1,6,0.06,41.64,3.3,74,22.7,7.19,https://phyllis.nl/
apricot pits,apricot pits (APR),APR,fruit pits,2.3333,2.2683,20.8,1173,0.25,51.4,0.2,6.29,0.1,41.81,0.2,80.4,19.4,6.4,https://phyllis.nl/
bamboo,bamboo (BB),BB,wood,2.3333,2.0915,19.05,1173,0.25,48,0.6,6.1,0.05,42.55,2.7,76,21.3,9,https://phyllis.nl/
barley straw,barley straw (BAR),BAR,straw,2.3333,1.9826,18.68,1173,0.25,46.2,0.6,5.7,0.08,41.54,5.88,76.1,18.02,11.53,https://phyllis.nl/
beech torrefied,beech torrefied (BEET),BEET,torrefied wood,2.3333,2.3545,21.6,1173,0.25,54.2,0.1,5.6,0.02,38.28,1.8,73.4,24.8,0,https://doi.org/10.1016/j.fuel.2014.03.057
beech wood,beech wood (BEE),BEE,wood,2.3333,2.1599,19.93,1173,0.25,49.5,0.1,6.26,0.1,43.44,0.6,84,15.4,5.9,https://phyllis.nl/
birch wood,birch wood (BIR),BIR,wood,2.3333,2.1282,19.72,1173,0.25,48.7,0.08,6.4,0,44.45,0.37,78.7,20.93,11.1,https://phyllis.nl/
cacao shells,cacao shells (CAS),CAS,nut shells,2.3333,2.0991,18.38,1173,0.25,47.4,3.03,5.24,0.19,33.64,10.5,67.8,21.7,13.4,https://phyllis.nl/
coconut shell,coconut shell (COC),COC,nut shells,2.3333,2.1215,20.5,1173,0.25,50.22,0,5.7,0,43.37,0.71,77.19,22.1,8.27,https://doi.org/10.1016/S0016-2361(01)00131-4
corn stover,corn stover (COST),COST,straw,2.3333,2.038,19,1173,0.25,46.5,0.56,5.81,0.11,39.67,7.35,78.1,14.55,5,https://phyllis.nl/
cotton seed husks,cotton seed husks (COTH),COTH,fruit bunches,2.3333,2.1307,18.83,1173,0.25,48.48,0.97,6.12,0.1,41.48,2.85,76.08,21.07,9.7,https://phyllis.nl/
cotton stalks,cotton stalks (COTS),COTS,stalks,2.3333,1.9795,18.26,1173,0.25,47.05,0.65,5.35,0.21,41.23,5.51,73.29,21.2,7.96,https://phyllis.nl/
demolition wood,demolition wood (DWO),DWO,wood,2.3333,2.087,20.19,1173,0.25,48.41,1.06,5.93,0.06,42.58,1.96,77.86,20.18,9.57,https://phyllis.nl/
empty fruit bunch,empty fruit bunch (EFB1),EFB1,fruit bunches,2.3333,2.0057,18.54,1173,0.25,46.3,1.28,5.4,0.17,37.95,8.9,70.7,20.4,10.2,https://phyllis.nl/
empty fruit bunch,empty fruit bunch (EFB2),EFB2,fruit bunches,2.3333,2.0139,18.63,1173,0.25,46.4,1.34,5.4,0.16,37.69,9.01,70.5,20.49,10.5,https://phyllis.nl/
eucaliptus torrefied,eucaliptus torrefied (EUCT1),EUCT1,torrefied wood,2.3333,2.3438,22.2,1173,0.25,53.1,0.1,6.1,0,40,0.7,75.4,23.9,2.1,https://doi.org/10.1016/j.fuproc.2007.09.002
eucaliptus torrefied,eucaliptus torrefied (EUCT2),EUCT2,torrefied wood,2.3333,2.4336,22.7,1173,0.25,55.41,0.45,5.73,0.04,37.48,0.89,73.77,25.34,0,https://doi.org/10.1016/j.fuel.2014.04.067
eucalyptus bark,eucalyptus bark (EUCB),EUCB,bark,2.3333,2.0014,18.47,1173,0.25,47.4,0.3,5.5,0.05,41.95,4.8,78.1,17.1,11.8,https://phyllis.nl/
eucalyptus sawdust,eucalyptus sawdust (EUC1),EUC1,wood,2.3333,1.9797,19.5,1173,0.25,46.8,0.1,6.1,0,46.5,0.5,84.6,14.9,10.5,https://phyllis.nl/
eucalyptus sawdust,eucalyptus sawdust (EUC2),EUC2,wood,2.3333,2.0876,19.22,1173,0.25,49.51,0.14,5.75,0.03,44.04,0.53,86.61,12.86,9.34,https://phyllis.nl/
eucalyptus sawdust,eucalyptus sawdust (EUC3),EUC3,wood,2.3333,2.2244,19.81,1173,0.25,51.2,0.2,6,0.02,41.78,0.8,80.4,18.8,4,https://phyllis.nl/
forest residue wood,forest residue wood (FRW),FRW,wood,2.3333,2.2113,20.19,1173,0.25,49.84,0.86,6.23,0.1,40.82,2.15,78.37,19.48,7.38,https://phyllis.nl/
grape seeds,grape seeds (GRS),GRS,seeds,2.3333,2.3691,22.1,1173,0.25,51.43,2.1,6.3,0.1,35.49,4.59,69.48,25.93,6.3,https://doi.org/10.1016/j.cattod.2020.04.054
hazelnut shell,hazelnut shell (HZS),HZS,nut shells,2.3333,2.0039,18.3,1173,0.25,46.27,1.54,5.96,0,42.43,3.8,77,19.2,11.8,https://phyllis.nl/
oak bark,oak bark (OAKB),OAKB,bark,2.3333,2.1262,19.47,1173,0.25,49.7,0.2,5.4,0.1,39.3,5.3,76,18.7,10,https://phyllis.nl/
oak red wood,oak red wood (OAKR),OAKR,wood,2.3333,2.1461,19.84,1173,0.25,49.77,0.2,5.99,0,42.9,1.14,83.38,15.48,9,https://phyllis.nl/
